Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Ha-Seong Kim","SDP",17.211522912864794,4.311595548409969,5.532720565795898,1.9924547672271729,21.523118461274763,7.525175333023071,1.2889261960517615,14.920461697503924,45.25768168785352,4.524855927285423,36.198847418283385,"Ha-Seong Kim",27506,673490
"Cody Bellinger","CHC",22.103970606816183,3.68318650778383,1.4282865524291992,-0.7864658236503601,25.787157114600014,0.6418207287788391,1.0504346545785666,12.159710988402367,39.639123486359786,3.9631133582300095,31.704906865840076,"Cody Bellinger",15998,641355
"Thairo Estrada","SFG",2.8304507407847495,4.365963902324438,8.306122779846191,1.4283260107040405,7.196414643109188,9.734448790550232,1.004880090476945,11.63237658329308,29.568120107429444,2.956216017637887,23.649728141103097,"Thairo Estrada",16426,642731
"Jake Burger","- - -",12.393905548410245,1.9318551579490304,0.3283202648162842,-1.8055558800697327,14.325760706359276,-1.4772356152534485,1.1976402283180505,12.345829013735056,26.391994333158934,2.6386674601436346,21.109339681149077,"Jake Burger",22275,669394
"Lane Thomas","WSN",11.567502146966179,4.498265334870666,-2.994432210922241,-5.2200493812561035,16.065767481836843,-8.214481592178345,1.4309492488391697,16.564504254609346,25.846739393107015,2.584152956630351,20.673223653042808,"Lane Thomas",16939,657041
"Nathaniel Lowe","TEX",17.977694779728346,-5.516922602895647,3.4639179706573486,-9.302125930786133,12.460772176832698,-5.838207960128784,1.7248770697042346,17.339996026828885,25.687437313237034,2.5682259596334625,20.5458076770677,"Nathaniel Lowe",19566,663993
"TJ Friedl","CIN",1.6175949751600802,7.162408000789583,0.8930099010467529,0.7893228530883789,8.780002975949664,1.6823327541351318,1.0933095384389162,12.656025722622871,24.211670991146583,2.4206790738726,19.3654325909808,"TJ Friedl",19522,670770
"Alex Verdugo","BOS",4.190616083844776,-0.24255975568667054,7.740388870239258,-4.8165283203125,3.9480563281581054,2.923860549926758,1.487282196059823,14.951481368392706,23.310680442537393,2.33059817992799,18.64478543942392,"Alex Verdugo",17027,657077
"Jose Siri","TBR",3.667597425127302,3.3122032564133406,1.8536052703857422,1.1008225679397583,6.979800681540643,2.9544278383255005,0.9380369037389755,9.42997995018959,20.302245373794708,2.0298153129101437,16.23852250328115,"Jose Siri",17452,642350
"Ryan Noda","OAK",13.458741287420967,-0.9752562725916505,-0.1439618617296219,-6.04938268661499,12.483485014829316,-6.193344548344612,1.0676341075450182,10.732806127518415,18.090580701548138,1.8086934253506994,14.469547402805595,"Ryan Noda",23312,676116
"Jake Meyers","HOU",-3.003080626317624,2.040664098225534,6.7649922370910645,1.2488564252853394,-0.9624165280920902,8.013848662376404,0.962722085416317,9.678137317299843,17.69229153700047,1.7688725370558234,14.150980296446587,"Jake Meyers",20308,676694
"Willy Adames","MIL",-9.052541450008933,-0.5464007994160056,6.024420261383057,4.761659145355225,-9.598942249424939,10.786079406738281,1.3023245972581208,15.075560051947832,17.565021806519297,1.7561481293341983,14.049185034673586,"Willy Adames",15986,642715
"Austin Hays","BAL",5.828043908270828,-2.845668929629028,2.886715888977051,-4.717648983001709,2.9823749786418006,-1.8309330940246582,1.351513696834445,13.586615849286318,16.089571430737905,1.6086328318358354,12.869062654686683,"Austin Hays",19363,669720
"Stone Garrett","WSN",5.874522806304747,0.4984267861582339,1.8463475704193115,-3.084704637527466,6.372949592462981,-1.2383570671081543,0.7074355836957693,8.189193114638329,14.031221223688924,1.4028393004960622,11.222714403968498,"Stone Garrett",19273,656448
"Connor Wong","BOS",-6.756455011957905,0.6072355476208031,-2.6726365089416504,6.113968372344971,-6.149219464337102,3.4413318634033203,0.9534651422873139,9.585078304633498,7.830655845987032,0.782907745112279,6.263261960898232,"Connor Wong",19896,657136
"Edmundo Sosa","PHI",-2.4359354562213644,-0.08181183505803347,1.4529087543487549,1.1316869258880615,-2.517747291279398,2.5845956802368164,0.6136467752512544,7.103504633530974,7.783999797739647,0.7782430807153717,6.225944645722974,"Edmundo Sosa",17022,624641
"Riley Adams","WSN",7.85430075598652,-0.3145084115676582,-6.389999866485596,2.3719706535339355,7.539792344418862,-4.01802921295166,0.33763971040025353,3.908478531986475,7.76788137385393,0.7766315632196057,6.2130525057568455,"Riley Adams",19864,656180
"Stuart Fairchild","CIN",-3.3631085764037043,2.1516166529618204,0.5491470694541931,-1.5912206172943115,-1.211491923441884,-1.0420735478401184,0.6297248566988856,7.289622658863664,5.665782044280547,0.5664640014614515,4.531712011691612,"Stuart Fairchild",20321,656413
"Emmanuel Rivera","ARI",-4.506991786838315,0.5709831798449159,0.7749999165534973,-0.6807272434234619,-3.936008606993399,0.0942726731300354,0.6377638974227011,7.382681671530008,4.178709635089346,0.41778673488291773,3.342293879063342,"Emmanuel Rivera",19890,656896
"Corey Julks","HOU",-7.174243157802497,0.6902980962768197,4.2381134033203125,-4.778806209564209,-6.483945061525677,-0.5406928062438965,0.97197902854532,9.771196329966187,3.7185374907419337,0.37177879595923957,2.9742303676739166,"Corey Julks",20311,667452
"Ernie Clement","TOR",1.1947739652681535,0.4704126510769129,0.6625064015388489,-0.06344307959079742,1.6651866163450664,0.5990633219480515,0.030856477096676826,0.3101967088878155,2.60530312427761,0.26047779834526225,2.083822386762098,"Ernie Clement",20352,676391
"Yu Chang","BOS",-8.106662572351205,1.596444214694202,4.063510894775391,1.2088475227355957,-6.510218357657003,5.272358417510986,0.34559254348278046,3.4742031395435333,2.5819357428802974,0.25814153121275585,2.065132249702047,"Yu Chang",14773,644374
"Drew Ellis","PHI",1.2389600350075987,-0.4873501411639154,-0.056544240564107895,-0.19204391539096832,0.7516098938436833,-0.24858815595507622,0.07771072699688375,0.8995704557746649,1.4803029206601557,0.1480004541753785,1.184003633403028,"Drew Ellis",19873,656403
