last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Biggio, Cavan,624415,TOR,141,2B,28,L,0.00,0.53,0.82,1.08,1.31,1.53,1.73,1.93,2.11,2.30,2.48,2.66,2.84,3.01,3.18,3.36,3.53,3.71,3.90
Blackmon, Charlie,453568,COL,115,DH,36,L,0.00,0.55,0.85,1.11,1.35,1.57,1.78,1.98,2.17,2.36,2.55,2.73,2.91,3.08,3.26,3.43,3.61,3.79,3.97
Blanco, Dairon,680118,KC,118,RF,30,R,0.00,0.53,0.83,1.08,1.30,1.50,1.69,1.87,2.05,2.22,2.39,2.56,2.72,2.88,3.04,3.20,3.36,3.52,3.69
Bleday, JJ,668709,OAK,133,LF,25,L,0.00,0.55,0.85,1.12,1.35,1.58,1.78,1.99,2.18,2.37,2.55,2.74,2.92,3.10,3.28,3.45,3.63,3.82,4.02
Bogaerts, Xander,593428,SD,135,SS,30,R,0.00,0.56,0.89,1.16,1.40,1.62,1.84,2.04,2.24,2.43,2.61,2.80,2.98,3.16,3.33,3.51,3.68,3.86,4.06
Bohm, Alec,664761,PHI,143,3B,26,R,0.00,0.55,0.87,1.15,1.39,1.62,1.84,2.05,2.25,2.44,2.64,2.83,3.01,3.20,3.38,3.56,3.74,3.92,4.11
Bradley Jr., Jackie,598265,KC,118,CF,33,L,0.00,0.53,0.82,1.08,1.32,1.54,1.75,1.96,2.15,2.34,2.53,2.72,2.90,3.08,3.26,3.44,3.62,3.81,4.01
Bregman, Alex,608324,HOU,117,3B,29,R,0.00,0.57,0.89,1.16,1.39,1.62,1.83,2.04,2.24,2.43,2.62,2.81,3.00,3.18,3.36,3.54,3.72,3.91,4.10
Brennan, Will,686823,CLE,114,RF,25,L,0.00,0.53,0.83,1.08,1.31,1.53,1.73,1.93,2.12,2.31,2.49,2.67,2.85,3.02,3.19,3.37,3.54,3.72,3.90
Bride, Jonah,681146,OAK,133,3B,27,R,0.00,0.56,0.88,1.16,1.40,1.63,1.84,2.05,2.25,2.45,2.64,2.83,3.02,3.20,3.38,3.56,3.74,3.92,4.12
