Name,woba_Correctness,SLG_Correctness,BABIP_Correctness,wRC+_Correctness
Danny Jansen,Correct :),Correct :),Correct :),Correct :)
Brian Anderson,Correct :),Correct :),Correct :),Correct :)
Elvis Andrus,Correct :),Correct :),Correct :),Correct :)
Josh Rojas,Correct :),Correct :),Correct :),Correct :)
Bryson Stott,Correct :),Correct :),Correct :),Correct :)
Joey Gallo,Correct :),Correct :),Correct :),Correct :)
Kevin Kiermaier,Correct :),Correct :),Correct :),Correct :)
Shea Langeliers,Correct :),Correct :),Correct :),Correct :)
Bryce Harper,Correct :),Correct :),Correct :),Correct :)
Tony Kemp,Correct :),Correct :),Correct :),Correct :)
Emmanuel Rivera,Correct :),Correct :),Correct :),Correct :)
Ke'Bryan Hayes,Correct :),Correct :),Correct :),Correct :)
Mark Canha,Correct :),Correct :),Correct :),Correct :)
Cedric Mullins II,Correct :),Correct :),Correct :),Correct :)
Matt Thaiss,Correct :),Correct :),Correct :),Correct :)
Tommy Pham,Correct :),Correct :),Correct :),Correct :)
J.P. Crawford,Correct :),Correct :),Correct :),Correct :)
Joc Pederson,Correct :),Correct :),Correct :),Correct :)
Yoan Moncada,Correct :),Correct :),Correct :),Correct :)
Wander Franco,Correct :),Correct :),Correct :),Correct :)
Daulton Varsho,Correct :),Correct :),Correct :),Correct :)
Jarren Duran,Correct :),Correct :),Correct :),Correct :)
Brandon Drury,Correct :),Correct :),Correct :),Correct :)
Andy Ibanez,Correct :),Correct :),Correct :),Correct :)
Eric Haase,Correct :),Correct :),Correct :),Correct :)
Brandon Belt,Correct :),Correct :),Correct :),Correct :)
Lars Nootbaar,Correct :),Correct :),Correct :),Correct :)
Giancarlo Stanton,Correct :),Correct :),Correct :),Correct :)
Jake Fraley,Correct :),Correct :),Correct :),Correct :)
Matt Vierling,Correct :),Correct :),Correct :),Correct :)
Rowdy Tellez,Correct :),Correct :),Correct :),Correct :)
Manuel Margot,Correct :),Correct :),Correct :),Correct :)
Byron Buxton,Correct :),Correct :),Correct :),Correct :)
Taylor Walls,Correct :),Correct :),Correct :),Correct :)
Julio Rodriguez,Correct :),Correct :),Correct :),Correct :)
Anthony Santander,Correct :),Correct :),Correct :),Correct :)
Justin Turner,Correct :),Correct :),Correct :),Correct :)
Jose Altuve,Correct :),Correct :),Correct :),Correct :)
Marcus Semien,Correct :),Correct :),Correct :),Correct :)
Christopher Morel,Correct :),Correct :),Correct :),Correct :)
Alex Verdugo,Correct :),Correct :),Correct :),Correct :)
J.D. Martinez,Correct :),Correct :),Correct :),Correct :)
Leody Taveras,Correct :),Correct :),Correct :),Correct :)
Patrick Wisdom,Correct :),Correct :),Correct :),Correct :)
Jack Suwinski,Correct :),Correct :),Correct :),Correct :)
Jorge Mateo,Correct :),Correct :),Correct :),Correct :)
Jazz Chisholm Jr.,Correct :),Correct :),Correct :),Correct :)
Alek Thomas,Correct :),Correct :),Correct :),Correct :)
Francisco Lindor,Correct :),Correct :),Correct :),Correct :)
Jon Berti,Correct :),Correct :),Correct :),Correct :)
Aaron Judge,Correct :),Correct :),Correct :),Correct :)
Elias Diaz,Correct :),Correct :),Correct :),Correct :)
Nico Hoerner,Correct :),Correct :),Correct :),Correct :)
Nick Senzel,Correct :),Correct :),Correct :),Correct :)
Jonathan India,Correct :),Correct :),Correct :),Correct :)
Brent Rooker,Correct :),Correct :),Correct :),Correct :)
Ha-seong Kim,Correct :),Correct :),Correct :),Correct :)
Alex Kirilloff,Correct :),Correct :),Correct :),Correct :)
Nolan Gorman,Correct :),Correct :),Correct :),Correct :)
Lourdes Gurriel Jr.,Correct :),Correct :),Correct :),Correct :)
Jace Peterson,Correct :),Correct :),Correct :),Correct :)
Alec Bohm,Correct :),Correct :),Correct :),Correct :)
Willson Contreras,Correct :),Correct :),Correct :),Correct :)
Harold Ramirez,Correct :),Correct :),Correct :),Correct :)
Charlie Blackmon,Correct :),Correct :),Correct :),Correct :)
Xander Bogaerts,Correct :),Correct :),Correct :),Correct :)
Juan Soto,Correct :),Correct :),Correct :),Correct :)
Luis Arraez,Correct :),Correct :),Correct :),Correct :)
Adley Rutschman,Correct :),Correct :),Correct :),Correct :)
Vladimir Guerrero Jr.,Correct :),Correct :),Correct :),Correct :)
Fernando Tatis Jr.,Correct :),Correct :),Correct :),Correct :)
Gleyber Torres,Correct :),Correct :),Correct :),Correct :)
Jurickson Profar,Correct :),Correct :),Correct :),Correct :)
Ryan Mountcastle,Correct :),Correct :),Correct :),Correct :)
Brendan Donovan,Correct :),Correct :),Correct :),Correct :)
David Peralta,Correct :),Correct :),Correct :),Correct :)
J.T. Realmuto,Correct :),Correct :),Correct :),Correct :)
Harrison Bader,Correct :),Correct :),Correct :),Correct :)
Edmundo Sosa,Correct :),Correct :),Correct :),Correct :)
