bat_side,IDfg,Name,zscore_difference_woba,zscore_difference_slg,zscore_difference_babip,zscore_difference_wrc
L,13768,Travis Jankowski,0.510333549,0.301992602,0.072480812,0.809888972
L,13853,Joey Wendle,-0.868088609,-0.513382975,-0.093133518,-0.912030125
R,14111,Eric Haase,-2.431241762,-2.480972027,-0.868802857,-2.529806738
L,14128,Joey Gallo,-0.65719307,-0.343545421,-0.765928966,-0.398665873
L,14130,Daniel Vogelbach,-0.478328977,-0.311423979,0.368520155,-0.308589902
R,14161,Byron Buxton,-1.850389631,-2.018635168,-1.394495488,-1.834187549
R,14162,Carlos Correa,-1.864205954,-1.647663086,-1.33415862,-1.880872579
R,14221,Jorge Soler,0.46173578,0.565765432,-0.334814567,0.576520429
L,14344,Matt Olson,1.036562898,1.011948418,0.142402446,0.731221557
R,14366,Joey Meneses,-2.237634223,-2.367211392,-1.353333832,-2.5047041
R,14387,Harold Ramirez,0.930879852,0.702887239,0.481293317,1.106113713
S,14551,Anthony Santander,0.565135803,0.319358881,0.435055353,0.6977585
L,14691,Harold Castro,-0.584695447,-0.464961321,-0.123208008,-1.234796028
R,14712,Manuel Margot,-0.313519481,-0.242924881,-0.026642106,-0.239415853
R,14813,Kyle Farmer,0.059699924,-0.182099621,0.53287689,0.611357493
L,14854,Mike Yastrzemski,-0.178127358,-0.216219015,0.146166668,-0.12091686
L,14894,Tony Kemp,-0.848121301,-0.913130066,-0.952953233,-0.755824744
L,15112,Ryan McMahon,0.361900579,0.421130132,0.503942709,0.49413572
R,15149,Trey Mancini,-1.646893744,-1.709171415,0.464527972,-1.622210201
R,15172,Tim Anderson,-2.530582754,-2.552393653,-1.989593842,-2.513658782
L,15194,Jake Bauers,1.105158652,1.901673248,-0.393221165,1.285943388
L,15223,Adam Frazier,-0.051869137,0.637118355,-1.877481346,0.050706313
L,15274,Mike Tauchman,0.936239121,0.355294488,0.750423837,1.016222324
R,15279,Garrett Cooper,-0.84464771,-0.114367801,-1.025815113,-0.785384735
L,15362,Jeff McNeil,-1.281322569,-1.380359447,-1.113950394,-1.238554709
R,15429,Kris Bryant,-1.55536215,-1.736165815,-1.366219252,-1.865386998
R,15464,Hunter Renfroe,-0.664806143,-0.992772306,0.377071059,-0.559290807
L,15491,J.P. Crawford,1.272138656,0.811849201,0.595022063,1.326451639
R,15518,Amed Rosario,-0.528387429,-0.415570611,-0.957789728,-0.545703769
R,15640,Aaron Judge,0.423570892,0.640157726,-1.283276961,0.392761023
L,15653,Dominic Smith,0.155740794,-0.464506868,0.326882037,-0.092589426
R,15676,Jose Abreu,-2.206612195,-2.00213409,-1.158830313,-2.157657428
L,15679,Rowdy Tellez,-0.632099989,-0.834275382,-0.404101295,-0.575884094
R,15937,Aledmys Diaz,-1.472651285,-1.401717248,-0.247001396,-1.261637362
R,15986,Willy Adames,-0.735260122,-0.743142076,-1.721729098,-0.80820926
L,15998,Cody Bellinger,2.166827452,1.743839909,2.313387934,2.120121084
R,16219,J.D. Davis,-1.178616519,-0.839255403,-1.97732896,-1.275290881
R,16252,Trea Turner,-1.769730385,-1.467617467,-1.417943613,-1.72923027
L,16376,Michael Conforto,-0.419768772,-0.438129857,0.416072484,-0.412440195
R,16426,Thairo Estrada,0.419793754,0.648999501,1.653381553,0.194896702
L,16442,Ryan O'Hearn,2.499128088,2.223287334,2.970915296,2.848605339
