player_id,first_name,last_name,woba_avg,woba_2023,zscore_woba_avg,zscore_woba_2023,zscore_difference
672695, Geraldo,Perdomo,0.253,0.34,-2.424172491452196,0.42357943358660616,2.847751925038802
656811, Ryan,O'Hearn,0.276,0.353,-1.6847020555014198,0.7722239580657104,2.4569260135671303
641355, Cody,Bellinger,0.31166666666666665,0.393,-0.537987031635726,1.8449763410783435,2.3829633727140695
608369, Corey,Seager,0.35333333333333333,0.438,0.8016333233475633,3.0518227719675544,2.250189448619991
673490, Ha-Seong,Kim,0.2915,0.36,-1.1863632834476379,0.9599556250929212,2.146318908540559
669221, Sean,Murphy,0.32,0.393,-0.27006296063906743,1.8449763410783435,2.115039301717411
641680, Jonah,Heim,0.281,0.346,-1.523947612903425,0.5844922910384996,2.1084399039419246
677649, Ezequiel,Duran,0.282,0.346,-1.491796724383828,0.5844922910384996,2.0762890154223275
600869, Jeimer,Candelario,0.3013333333333333,0.365,-0.8702128796715826,1.0940496729695004,1.9642625526410828
682985, Riley,Greene,0.303,0.366,-0.8166280654722498,1.120868482544816,1.9374965480170658
642350, Jose,Siri,0.268,0.323,-1.9419091636582115,-0.032340329193762944,1.9095688344644486
669016, Brandon,Marsh,0.296,0.356,-1.0416842851094426,0.8526803867916579,1.8943646719011005
672284, Jarred,Kelenic,0.27,0.324,-1.8776073866190137,-0.005521519618447114,1.8720858670005667
670764, Taylor,Walls,0.252,0.301,-2.4563233799717947,-0.6223541398507112,1.8339692401210836
682928, CJ,Abrams,0.267,0.312,-1.9740600521778104,-0.3273472345222371,1.6467128176555734
606115, Orlando,Arcia,0.29500000000000004,0.344,-1.0738351736290397,0.530854671887868,1.6046898455169076
643289, Mauricio,Dubón,0.248,0.287,-2.584926934050191,-0.9978174739051328,1.587109460145058
681082, Bryson,Stott,0.289,0.336,-1.2667405047466351,0.3163041952853428,1.5830447000319778
676801, Chas,McCormick,0.3265,0.38,-0.061082185261674214,1.4963318165992379,1.5574140018609122
660271, Shohei,Ohtani,0.37166666666666665,0.434,1.3910662795402098,2.944547533666291,1.5534812541260814
679529, Spencer,Torkelson,0.272,0.312,-1.8133056095798157,-0.3273472345222371,1.4859583750575787
641487, J.P.,Crawford,0.3053333333333333,0.35,-0.7416093255931867,0.6917675293397629,1.4333768549329498
518792, Jason,Heyward,0.3015,0.345,-0.8648543982516482,0.5576734814631837,1.422527879714832
666969, Adolis,García,0.319,0.365,-0.3022138491586664,1.0940496729695004,1.3962635221281667
650490, Yandy,Díaz,0.34400000000000003,0.394,0.5015583638313076,1.8717951506536594,1.370236786822352
621566, Matt,Olson,0.36366666666666664,0.417,1.133859171383418,2.488627770885922,1.3547685995025038
666135, Alex,Kirilloff,0.307,0.348,-0.6880245113938539,0.6381299101891312,1.3261544215829852
647304, Josh,Naylor,0.313,0.354,-0.4951191802762602,0.7990427676410262,1.2941619479172863
664761, Alec,Bohm,0.2975,0.335,-0.9934579523300441,0.289485385710027,1.282943338040071
660670, Ronald,Acuña Jr.,0.37200000000000005,0.424,1.4017832423800785,2.6763594379131326,1.2745761955330541
670623, Isaac,Paredes,0.323,0.365,-0.17361029508027057,1.0940496729695004,1.2676599680497709
527038, Wilmer,Flores,0.3356666666666667,0.378,0.2336342928346508,1.442694197448606,1.2090599046139552
545341, Randal,Grichuk,0.3073333333333333,0.344,-0.6773075485539888,0.530854671887868,1.2081622204418567
650489, Willi,Castro,0.278,0.305,-1.620400278462222,-0.5150789015494478,1.1053213769127743
666624, Christopher,Morel,0.322,0.357,-0.20576118359986953,0.8794991963669737,1.0852603799668432
595281, Kevin,Kiermaier,0.297,0.327,-1.0095333965898434,0.07493490910750038,1.0844683056973439
677951, Bobby,Witt Jr.,0.311,0.343,-0.559420957315458,0.5040358623125536,1.0634568196280116
669357, Nolan,Gorman,0.316,0.348,-0.3986665147174633,0.6381299101891312,1.0367964249065946
664774, LaMonte,Wade Jr.,0.3205,0.353,-0.253987516379268,0.7722239580657104,1.0262114744449784
643396, Isiah,Kiner-Falefa,0.2833333333333333,0.308,-1.4489288730243621,-0.43462247282350036,1.0143064002008617
663837, Matt,Vierling,0.285,0.309,-1.395344058825031,-0.4078036632481845,0.9875403955768465
669261, Jack,Suwinski,0.311,0.34,-0.559420957315458,0.42357943358660616,0.9830003909020641
650333, Luis,Arraez,0.3436666666666666,0.379,0.49084140099143886,1.469513007023922,0.9786716060324832
572233, Christian,Walker,0.332,0.365,0.11574770159612006,1.0940496729695004,0.9783019713733804
623912, Harold,Ramírez,0.31233333333333335,0.341,-0.5165531059559922,0.45039824316192195,0.9669513491179142
543228, Yan,Gomes,0.29233333333333333,0.317,-1.1595708763479715,-0.1932531866456579,0.9663176897023136
677950, Alek,Thomas,0.272,0.292,-1.8133056095798157,-0.8637234260285536,0.9495821835512621
657041, Lane,Thomas,0.318,0.346,-0.33436473767826536,0.5844922910384996,0.918857028716765
592273, Brandon,Drury,0.3105,0.337,-0.5754964015752576,0.34312300486065866,0.9186194064359163
553869, Elias,Díaz,0.293,0.316,-1.1381369506682393,-0.22007199622097373,0.9180649544472655
514888, Jose,Altuve,0.37600000000000006,0.414,1.5303867964584743,2.4081713421599744,0.8777845457015001
593160, Whit,Merrifield,0.3133333333333333,0.338,-0.48440221743639506,0.36994181443597446,0.8543440318723695
664728, Kyle,Isbel,0.265,0.28,-2.0383618292170085,-1.185549140932342,0.8528126882846665
592696, Eddie,Rosario,0.301,0.321,-0.8809298425114477,-0.0859779483443946,0.794951894167053
