last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Hicks, Aaron,543305,2019,255,152,0.235,0.202,0.0329999999999999,0.443,0.37,0.073,0.325,0.293,0.032
Castillo, Welington,456078,2019,251,158,0.209,0.218,-0.009,0.417,0.426,-0.009,0.287,0.3,-0.013
Locastro, Tim,641796,2019,250,170,0.25,0.225,0.0249999999999999,0.34,0.294,0.046,0.314,0.295,0.019
Martin, Russell,431145,2019,249,151,0.22,0.217,0.003,0.33,0.345,-0.0149999999999999,0.295,0.304,-0.009
Urías, Luis,649966,2019,249,159,0.223,0.226,-0.003,0.326,0.354,-0.0279999999999999,0.294,0.307,-0.013
Camargo, Johan,622666,2019,248,190,0.233,0.249,-0.0159999999999999,0.384,0.363,0.021,0.279,0.284,-0.0049999999999999
Brinson, Lewis,621446,2019,248,155,0.173,0.199,-0.026,0.221,0.295,-0.0739999999999999,0.205,0.246,-0.041
Engel, Adam,641553,2019,248,150,0.242,0.225,0.0169999999999999,0.383,0.348,0.035,0.296,0.28,0.0159999999999999
Cordell, Ryan,641477,2019,247,156,0.221,0.208,0.013,0.355,0.357,-0.002,0.279,0.276,0.003
Díaz, Aledmys,649557,2019,247,188,0.271,0.264,0.007,0.467,0.424,0.043,0.345,0.343,0.0019999999999999
Pérez, Hernán,541650,2019,246,169,0.228,0.216,0.012,0.379,0.334,0.0449999999999999,0.271,0.256,0.015
Frazier, Clint,640449,2019,246,158,0.267,0.245,0.022,0.489,0.46,0.0289999999999999,0.333,0.319,0.014
Mejía, Francisco,642336,2019,244,171,0.265,0.219,0.046,0.438,0.368,0.07,0.317,0.276,0.0409999999999999
Barnes, Austin,605131,2019,242,158,0.203,0.191,0.012,0.34,0.297,0.043,0.272,0.256,0.016
Haseley, Adam,656514,2019,242,163,0.266,0.218,0.048,0.396,0.33,0.066,0.309,0.269,0.0399999999999999
Russell, Addison,608365,2019,241,160,0.237,0.225,0.0119999999999999,0.391,0.357,0.034,0.297,0.288,0.009
Beckham, Gordon,493596,2019,240,155,0.215,0.216,-0.001,0.372,0.376,-0.004,0.274,0.278,-0.004
Romine, Austin,519222,2019,240,180,0.281,0.259,0.022,0.439,0.429,0.01,0.315,0.306,0.009
Joyce, Matt,459964,2019,238,155,0.295,0.27,0.0249999999999999,0.45,0.438,0.012,0.372,0.36,0.012
Casali, Curt,592200,2019,236,151,0.251,0.235,0.016,0.411,0.392,0.0189999999999999,0.316,0.309,0.007
Adrianza, Ehire,501303,2019,236,168,0.272,0.265,0.007,0.416,0.392,0.0239999999999999,0.326,0.325,0.001
Inciarte, Ender,542255,2019,230,159,0.246,0.232,0.0139999999999999,0.397,0.317,0.08,0.318,0.291,0.027
Solano, Donovan,456781,2019,228,168,0.33,0.315,0.015,0.456,0.45,0.006,0.346,0.343,0.0029999999999999
Kiner-Falefa, Isiah,643396,2019,222,155,0.238,0.221,0.0169999999999999,0.322,0.302,0.02,0.272,0.263,0.009
Hechavarría, Adeiny,588751,2019,221,156,0.241,0.224,0.0169999999999999,0.443,0.385,0.0579999999999999,0.312,0.292,0.02
Vargas, Ildemaro,545121,2019,211,178,0.269,0.261,0.008,0.413,0.371,0.0419999999999999,0.3,0.289,0.011
Smith, Kevan,607345,2019,211,155,0.251,0.289,-0.0379999999999999,0.393,0.452,-0.059,0.305,0.348,-0.0429999999999999
Stallings, Jacob,607732,2019,210,152,0.262,0.26,0.002,0.382,0.427,-0.0449999999999999,0.297,0.316,-0.019
Astudillo, Willians,553902,2019,204,186,0.268,0.285,-0.0169999999999999,0.379,0.417,-0.0379999999999999,0.288,0.319,-0.031
Semien, Marcus,543760,2021,724,509,0.265,0.249,0.016,0.538,0.459,0.079,0.368,0.336,0.0319999999999999
Merrifield, Whit,593160,2021,720,573,0.277,0.263,0.014,0.395,0.383,0.012,0.306,0.301,0.005
Guerrero Jr., Vladimir,665489,2021,698,496,0.311,0.307,0.004,0.601,0.59,0.011,0.419,0.417,0.002
Freeman, Freddie,518692,2021,695,495,0.3,0.32,-0.02,0.503,0.583,-0.0799999999999999,0.379,0.416,-0.0369999999999999
Haniger, Mitch,571745,2021,691,459,0.253,0.262,-0.009,0.485,0.497,-0.012,0.34,0.353,-0.0129999999999999
Edman, Tommy,669242,2021,691,552,0.262,0.274,-0.012,0.387,0.401,-0.014,0.301,0.316,-0.015
Bichette, Bo,666182,2021,690,507,0.298,0.291,0.007,0.484,0.489,-0.005,0.354,0.355,-0.001
Crawford, J.P.,641487,2021,687,510,0.273,0.257,0.016,0.376,0.339,0.0369999999999999,0.314,0.298,0.016
Albies, Ozzie,645277,2021,686,508,0.259,0.257,0.002,0.488,0.461,0.0269999999999999,0.336,0.329,0.007
LeMahieu, DJ,518934,2021,679,508,0.268,0.283,-0.0149999999999999,0.362,0.397,-0.035,0.315,0.34,-0.025
Goldschmidt, Paul,502671,2021,679,472,0.294,0.293,0.001,0.514,0.575,-0.0609999999999999,0.373,0.397,-0.024
Altuve, Jose,514888,2021,678,517,0.278,0.262,0.016,0.489,0.421,0.068,0.357,0.332,0.0249999999999999
Kiner-Falefa, Isiah,643396,2021,677,548,0.271,0.267,0.004,0.357,0.349,0.008,0.293,0.292,0.001
Mullins, Cedric,656775,2021,675,482,0.291,0.272,0.0189999999999999,0.518,0.447,0.071,0.372,0.344,0.028
Schoop, Jonathan,570731,2021,674,498,0.278,0.258,0.02,0.435,0.404,0.0309999999999999,0.324,0.311,0.013
Olson, Matt,621566,2021,673,463,0.271,0.264,0.007,0.54,0.507,0.033,0.379,0.378,0.001
Grossman, Robbie,543257,2021,671,410,0.239,0.234,0.0049999999999999,0.415,0.399,0.0159999999999999,0.337,0.334,0.003
Seager, Kyle,572122,2021,670,446,0.212,0.221,-0.009,0.438,0.452,-0.014,0.308,0.319,-0.011
