player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
408234, Miguel Cabrera,2020.6666666666667,502.6666666666667,351.3333333333333,0.264,0.246,0.0179999999999999,0.367,0.39566666666666667,-0.0286666666666666,0.307,-0.007666666666666666,0.29933333333333334,0.29,-0.9327751256899504,0.004742457082384521
444482, David Peralta,2020.0,516.25,365.5,0.2695,0.254,0.015499999999999976,0.4485,0.39875,0.049749999999999975,0.315,0.018750000000000003,0.33375,0.301,0.17934880309403092,-0.8047935969137944
453568, Charlie Blackmon,2020.0,622.25,457.5,0.28475,0.27949999999999997,0.00525,0.477,0.449,0.027999999999999924,0.34325,0.008000000000000024,0.35125,0.357,0.7448355465435137,0.17016702219280622
455117, Martin Maldonado,2020.0,395.75,252.5,0.199,0.1945,0.004499999999999975,0.34525,0.33425,0.010999999999999949,0.268,0.0032499999999999994,0.27125,0.252,-1.8402467092255486,-0.13308952683078767
456781, Donovan Solano,2020.6666666666667,292.0,213.66666666666666,0.298,0.28600000000000003,0.011999999999999967,0.41500000000000004,0.425,-0.009999999999999967,0.331,-0.0013333333333333662,0.32966666666666666,0.34,0.0474018962891519,0.3999648659569294
457705, Andrew McCutchen,2020.0,524.5,336.75,0.2425,0.2515,-0.008999999999999975,0.42725,0.431,-0.00375,0.3465,-0.009249999999999975,0.33725,0.347,0.29244615178392747,0.347476530781663
457759, Justin Turner,2020.0,529.75,384.25,0.2895,0.27875,0.01075,0.484,0.47475,0.00925,0.364,0.00275,0.36675,0.361,1.2456952335987699,-0.22066071039415824
462101, Elvis Andrus,2020.0,548.5,427.75,0.25575000000000003,0.257,-0.0012499999999999994,0.371,0.371,2.2551405187698492e-17,0.29925,-0.005249999999999975,0.294,0.279,-1.105113942741222,-0.12550660065414476
467793, Carlos Santana,2020.0,632.5,438.75,0.2315,0.252,-0.02049999999999995,0.41175,0.43925,-0.027499999999999976,0.35025,-0.02149999999999995,0.32875,0.311,0.017781162108464407,-0.3681460697574984
474832, Brandon Belt,2020.0,437.75,273.5,0.2435,0.2385,0.005000000000000025,0.44099999999999995,0.46799999999999997,-0.027000000000000003,0.34925,-0.010499999999999949,0.33875,0.364,0.3409164440795974,0.7666420449762331
493329, Yuli Gurriel,2020.0,593.5,483.75,0.2875,0.26225,0.025249999999999925,0.44775,0.37,0.07774999999999997,0.302,0.031749999999999924,0.33375,0.296,0.17934880309403092,-0.942333539999159
500743, Miguel Rojas,2020.0,525.0,422.5,0.25925,0.262,-0.002750000000000025,0.36,0.35324999999999995,0.006750000000000024,0.29525,-0.00399999999999995,0.29125,0.251,-1.1939761452832827,-0.8068680793901264
500871, Eduardo Escobar,2020.0,617.75,440.5,0.2585,0.24825,0.01025,0.4755,0.4435,0.03199999999999995,0.32275,0.010249999999999974,0.333,0.277,0.15511365694619683,-1.4407501775757094
502054, Tommy Pham,2020.0,601.75,386.25,0.25325000000000003,0.261,-0.00774999999999995,0.41775,0.4435,-0.02574999999999995,0.34775,-0.015249999999999975,0.3325,0.345,0.13895689284764018,0.44594981248380433
502110, J.D. Martinez,2020.0,634.0,422.5,0.2985,0.289,0.0095,0.538,0.5475,-0.009499999999999925,0.38425,-0.004249999999999975,0.38,0.355,1.6738494822105203,-0.8138628907083464
502671, Paul Goldschmidt,2020.0,675.5,437.5,0.29025,0.2705,0.019749999999999948,0.52525,0.52475,0.0005000000000000004,0.37675000000000003,0.005249999999999975,0.382,0.356,1.738476538604747,-0.8509819584855001
514888, Jose Altuve,2020.0,607.25,459.75,0.298,0.27175,0.02624999999999995,0.50575,0.4485,0.05725,0.3455,0.027249999999999976,0.37275,0.398,1.4395764027814497,0.6032536992548607
516416, Jean Segura,2020.0,551.0,443.0,0.28775,0.26575000000000004,0.02199999999999995,0.4145,0.38825,0.026249999999999926,0.3105,0.0145,0.325,0.25,-0.10339456863070957,-1.9249576446597725
516782, Starling Marte,2020.0,555.75,411.25,0.2935,0.279,0.01449999999999995,0.47225,0.45725,0.015,0.345,0.007249999999999975,0.35225,0.278,0.777149074740627,-2.0352776067530667
518595, Travis d'Arnaud,2020.6666666666667,348.6666666666667,245.0,0.24633333333333332,0.252,-0.005666666666666633,0.431,0.424,0.006999999999999999,0.32,-0.004000000000000001,0.316,0.323,-0.3942163224047293,0.3739472781605706
518692, Freddie Freeman,2020.0,700.5,494.0,0.30725,0.30625,0.001,0.517,0.55575,-0.03874999999999995,0.401,-0.016749999999999977,0.38425,0.412,1.811181977048251,0.6167599656270795
518735, Yasmani Grandal,2020.0,475.25,287.75,0.23225,0.2345,-0.00225,0.43075,0.4345,-0.0037499999999999496,0.35125,-0.006749999999999975,0.34450000000000003,0.29,0.5267192312129998,-1.4547518998205655
518792, Jason Heyward,2019.3333333333333,476.6666666666667,348.3333333333333,0.245,0.25166666666666665,-0.006666666666666667,0.39033333333333337,0.3833333333333333,0.0069999999999999655,0.312,-0.004666666666666632,0.30733333333333335,0.342,-0.674266900113044,1.1766496395932713
518934, DJ LeMahieu,2020.0,614.0,471.0,0.28300000000000003,0.28675,-0.003749999999999975,0.42125,0.43525,-0.014000000000000002,0.34650000000000003,-0.011249999999999975,0.33525,0.301,0.22781909538970088,-0.8532638892094644
