player_id,name,year,pa,bip,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,avg_ba,ba_2023,z_scores_avg_ba,zscore_difference
408234, Miguel Cabrera,2020.6666666666667,502.6666666666667,351.3333333333333,0.246,0.0179999999999999,0.367,0.39566666666666667,-0.0286666666666666,0.29933333333333334,0.307,-0.007666666666666666,0.264,0.247,0.25307054010812713,-0.5241629468652523
444482, David Peralta,2020.0,516.25,365.5,0.254,0.015499999999999976,0.4485,0.39875,0.049749999999999975,0.33375,0.315,0.018750000000000003,0.2695,0.271,0.46871822945226516,0.09328204769742221
453568, Charlie Blackmon,2020.0,622.25,457.5,0.27949999999999997,0.00525,0.477,0.449,0.027999999999999924,0.35125,0.34325,0.008000000000000024,0.28475,0.276,1.066650458997374,-0.33108920603376735
455117, Martin Maldonado,2020.0,395.75,252.5,0.1945,0.004499999999999975,0.34525,0.33425,0.010999999999999949,0.27125,0.268,0.0032499999999999994,0.199,0.18,-2.2954930612316837,-0.30131642143195814
456781, Donovan Solano,2020.6666666666667,292.0,213.66666666666666,0.28600000000000003,0.011999999999999967,0.41500000000000004,0.425,-0.009999999999999967,0.32966666666666666,0.331,-0.0013333333333333662,0.298,0.28,1.5861653469627965,-0.7117553133480545
457705, Andrew McCutchen,2020.0,524.5,336.75,0.2515,-0.008999999999999975,0.42725,0.431,-0.00375,0.33725,0.3465,-0.009249999999999975,0.2425,0.258,-0.5899158818735034,0.7006576219070006
457759, Justin Turner,2020.0,529.75,384.25,0.27875,0.01075,0.484,0.47475,0.00925,0.36675,0.364,0.00275,0.2895,0.288,1.2528916452491285,-0.10078405033211757
462101, Elvis Andrus,2020.0,548.5,427.75,0.257,-0.0012499999999999994,0.371,0.371,2.2551405187698492e-17,0.294,0.29925,-0.005249999999999975,0.25575000000000003,0.238,-0.07040099390807883,-0.5131011693141011
467793, Carlos Santana,2020.0,632.5,438.75,0.252,-0.02049999999999995,0.41175,0.43925,-0.027499999999999976,0.32875,0.35025,-0.02149999999999995,0.2315,0.227,-1.0212112605617782,0.05587495054897684
474832, Brandon Belt,2020.0,437.75,273.5,0.2385,0.005000000000000025,0.44099999999999995,0.46799999999999997,-0.027000000000000003,0.33875,0.34925,-0.010499999999999949,0.2435,0.255,-0.55070721108366,0.5573123656288057
493329, Yuli Gurriel,2020.0,593.5,483.75,0.26225,0.025249999999999925,0.44775,0.37,0.07774999999999997,0.33375,0.302,0.031749999999999924,0.2875,0.257,1.174474303669442,-1.0984447587987287
500743, Miguel Rojas,2020.0,525.0,422.5,0.262,-0.002750000000000025,0.36,0.35324999999999995,0.006750000000000024,0.29125,0.29525,-0.00399999999999995,0.25925,0.217,0.06682935385637047,-1.3792876154970104
500871, Eduardo Escobar,2020.0,617.75,440.5,0.24825,0.01025,0.4755,0.4435,0.03199999999999995,0.333,0.32275,0.010249999999999974,0.2585,0.23,0.037422850763989095,-0.8986225752884389
502054, Tommy Pham,2020.0,601.75,386.25,0.261,-0.00774999999999995,0.41775,0.4435,-0.02574999999999995,0.3325,0.34775,-0.015249999999999975,0.25325000000000003,0.264,-0.16842267088268703,0.4874375818928874
502110, J.D. Martinez,2020.0,634.0,422.5,0.289,0.0095,0.538,0.5475,-0.009499999999999925,0.38,0.38425,-0.004249999999999975,0.2985,0.256,1.605769682357718,-1.5644523326497886
502671, Paul Goldschmidt,2020.0,675.5,437.5,0.2705,0.019749999999999948,0.52525,0.52475,0.0005000000000000004,0.382,0.37675000000000003,0.005249999999999975,0.29025,0.278,1.2822981483415121,-0.4773125050523378
514888, Jose Altuve,2020.0,607.25,459.75,0.27175,0.02624999999999995,0.50575,0.4485,0.05725,0.37275,0.3455,0.027249999999999976,0.298,0.317,1.5861653469627965,0.5725959076749465
516416, Jean Segura,2020.0,551.0,443.0,0.26575000000000004,0.02199999999999995,0.4145,0.38825,0.026249999999999926,0.325,0.3105,0.0145,0.28775,0.219,1.1842764713669038,-2.427310342681976
516782, Starling Marte,2020.0,555.75,411.25,0.279,0.01449999999999995,0.47225,0.45725,0.015,0.35225,0.345,0.007249999999999975,0.2935,0.248,1.4097263284085018,-1.6461065400028432
518595, Travis d'Arnaud,2020.6666666666667,348.6666666666667,245.0,0.252,-0.005666666666666633,0.431,0.424,0.006999999999999999,0.316,0.32,-0.004000000000000001,0.24633333333333332,0.25,-0.4396159771791045,0.2726601559103309
518692, Freddie Freeman,2020.0,700.5,494.0,0.30625,0.001,0.517,0.55575,-0.03874999999999995,0.38425,0.401,-0.016749999999999977,0.30725,0.332,1.9488455517688479,0.7305986303106526
518735, Yasmani Grandal,2020.0,475.25,287.75,0.2345,-0.00225,0.43075,0.4345,-0.0037499999999999496,0.34450000000000003,0.35125,-0.006749999999999975,0.23225,0.235,-0.9918047574693959,0.30416600875886435
518792, Jason Heyward,2019.3333333333333,476.6666666666667,348.3333333333333,0.25166666666666665,-0.006666666666666667,0.39033333333333337,0.3833333333333333,0.0069999999999999655,0.30733333333333335,0.312,-0.004666666666666632,0.245,0.248,-0.4918942048988952,0.2555139933045538
518934, DJ LeMahieu,2020.0,614.0,471.0,0.28675,-0.003749999999999975,0.42125,0.43525,-0.014000000000000002,0.33525,0.34650000000000003,-0.011249999999999975,0.28300000000000003,0.239,0.9980352851151494,-1.5468252531745454
