player_id,full_name,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,era_minus_xera_diff,avg_zERA,zERA_2023,zscore_difference
425794, Adam Wainwright,792.0,571.3333333333334,0.25133333333333335,0.262,-0.010666666666666666,0.3913333333333333,0.4123333333333334,-0.020999999999999963,0.303,0.3196666666666667,-0.016666666666666632,3.65,-0.7443333333333334,4.396666666666667,7.79,3.206273753312089
425844, Zack Greinke,697.3333333333334,536.6666666666666,0.25533333333333336,0.26299999999999996,-0.007666666666666634,0.40499999999999997,0.42,-0.015,0.2976666666666667,0.31266666666666665,-0.014999999999999966,3.59,-0.6066666666666667,4.196666666666666,5.39,0.8417779965889379
434378, Justin Verlander,756.5,472.0,0.179,0.1965,-0.01749999999999995,0.3155,0.3385,-0.023,0.23249999999999998,0.2515,-0.019,2.165,-0.494,2.66,3.32,0.7651389466490861
446372, Corey Kluber,515.0,370.0,0.2605,0.2505,0.01,0.4,0.394,0.006,0.313,0.3095,0.0035,4.08,0.06500000000000002,4.015000000000001,6.18,1.976189745455202
448179, Rich Hill,593.5,408.0,0.2465,0.24,0.006499999999999999,0.41700000000000004,0.4125,0.004500000000000051,0.319,0.318,0.001,4.0649999999999995,-0.20099999999999998,4.265000000000001,5.53,0.8981759317751634
450203, Charlie Morton,758.0,462.6666666666667,0.217,0.22033333333333335,-0.0033333333333333006,0.35333333333333333,0.35233333333333333,0.0009999999999999673,0.2846666666666667,0.29,-0.005333333333333301,3.58,0.01633333333333334,3.563333333333333,4.91,1.2225562066655136
453286, Max Scherzer,650.3333333333334,392.3333333333333,0.20466666666666666,0.20033333333333334,0.004333333333333266,0.3403333333333333,0.3426666666666667,-0.0023333333333333344,0.257,0.26033333333333336,-0.0033333333333333327,2.5566666666666666,-0.2816666666666667,2.84,3.37,0.5614134276390481
458681, Lance Lynn,676.0,445.6666666666667,0.23299999999999998,0.221,0.011999999999999934,0.37833333333333335,0.36033333333333334,0.017999999999999964,0.28733333333333333,0.2783333333333333,0.009,3.453333333333333,0.18033333333333335,3.2733333333333334,4.75,1.4629861955316852
471911, Carlos Carrasco,407.6666666666667,279.6666666666667,0.2773333333333334,0.25766666666666665,0.019666666666666634,0.4896666666666667,0.45,0.0396666666666666,0.3443333333333333,0.3256666666666667,0.0186666666666666,5.1000000000000005,0.5203333333333333,4.576666666666667,6.5,1.521707439002727
477132, Clayton Kershaw,562.3333333333334,374.0,0.21733333333333335,0.22133333333333335,-0.004,0.35933333333333334,0.35766666666666663,0.0016666666666666668,0.26633333333333337,0.27066666666666667,-0.0043333333333333,2.953333333333333,-0.147,3.1,3.49,0.31994269802245
489119, Wade Miley,705.0,512.5,0.2595,0.2485,0.011,0.40700000000000003,0.391,0.01599999999999995,0.314,0.309,0.005,3.675,-0.441,4.115,4.69,0.1857049825069424
502043, Kyle Gibson,726.0,508.6666666666667,0.259,0.25733333333333336,0.0016666666666667,0.41333333333333333,0.4083333333333334,0.005,0.319,0.32033333333333336,-0.001333333333333333,4.533333333333333,0.11099999999999999,4.42,4.5,-0.4630935122980097
502171, Alex Cobb,512.0,346.0,0.251,0.246,0.004999999999999999,0.34299999999999997,0.34450000000000003,-0.0014999999999999996,0.291,0.29200000000000004,-0.0010000000000000512,3.745,0.1795,3.565,4.69,0.9770351209030043
502624, Chase Anderson,403.5,283.5,0.254,0.2525,0.0015,0.485,0.4535,0.0315,0.34299999999999997,0.3385,0.0045,5.48,0.4195,5.0600000000000005,5.11,-0.7097999435945352
506433, Yu Darvish,727.6666666666666,463.3333333333333,0.214,0.219,-0.005,0.39033333333333337,0.3873333333333333,0.002999999999999968,0.2846666666666667,0.29033333333333333,-0.005666666666666632,3.766666666666667,0.19899999999999998,3.5666666666666664,3.57,-0.26308052886651423
518876, Merrill Kelly,749.3333333333334,538.0,0.25066666666666665,0.25733333333333336,-0.006666666666666667,0.417,0.436,-0.018999999999999965,0.30866666666666664,0.32166666666666666,-0.012999999999999965,4.076666666666667,-0.41333333333333333,4.49,4.26,-0.8290334742533175
519242, Chris Sale,612.0,344.0,0.221,0.213,0.008,0.412,0.38,0.0319999999999999,0.294,0.284,0.01,4.4,0.888,3.51,3.57,-0.18154954491055642
527048, Martín Pérez,689.0,491.6666666666667,0.272,0.25566666666666665,0.0163333333333333,0.4186666666666667,0.40099999999999997,0.017666666666666667,0.327,0.319,0.008,4.25,-0.16600000000000004,4.413333333333333,5.5,0.6516034392862959
527054, Julio Teheran,754.0,494.0,0.229,0.24,-0.0109999999999999,0.389,0.416,-0.0269999999999999,0.31,0.327,-0.017,3.81,-0.947,4.76,4.53,-0.9191262639001893
542881, Tyler Anderson,705.0,528.0,0.2415,0.242,-0.0005,0.401,0.387,0.014,0.29500000000000004,0.29500000000000004,0.0,3.55,-0.10700000000000001,3.6550000000000002,4.78,0.9470041910207125
543037, Gerrit Cole,778.6666666666666,454.3333333333333,0.206,0.20133333333333334,0.004666666666666667,0.36833333333333335,0.35566666666666663,0.012666666666666666,0.2683333333333333,0.26466666666666666,0.0036666666666666666,3.0766666666666667,0.12833333333333333,2.9466666666666668,3.62,0.6842196079722633
543101, Anthony DeSclafani,686.0,478.0,0.23149999999999998,0.237,-0.0055,0.39,0.40549999999999997,-0.0155,0.28800000000000003,0.3005,-0.01249999999999995,3.5300000000000002,-0.3475,3.875,5.08,0.9620036569979578
