"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Nestor Cortes","NYY","19","9","0","62","54","314.2","9.52","2.37","1.17",".254","80.1%","30.2%","9.8%","91.4","3.09","","3.60","4.03","6.1","17874","641482"
"Frankie Montas","- - -","18","21","0","59","59","331.1","9.48","2.72","1.03",".297","72.9%","44.1%","12.0%","96.4","3.67","","3.55","3.63","6.0","14309","593423"
"Jon Gray","- - -","23","24","0","74","74","397.0","8.91","3.08","1.16",".283","71.6%","44.6%","13.5%","95.5","4.10","","4.05","3.94","5.9","14916","592351"
"Luis Garcia","HOU","28","18","0","64","62","339.2","9.41","2.84","1.19",".278","76.0%","37.1%","11.6%","93.7","3.63","","3.77","3.89","5.9","23735","677651"
"Mitch Keller","PIT","19","31","0","79","77","409.1","8.60","3.41","0.95",".335","71.0%","44.8%","11.0%","95.0","4.60","","3.98","4.16","5.7","17594","656605"
"Alek Manoah","TOR","28","18","0","70","70","395.2","8.78","3.41","0.98",".260","77.5%","37.9%","9.7%","93.6","3.32","","4.07","4.44","5.7","26410","666201"
"Justin Steele","CHC","21","14","0","66","55","302.0","9.09","3.13","0.89",".303","74.9%","49.5%","11.8%","92.7","3.22","","3.64","3.70","5.7","17312","657006"
"Robbie Ray","- - -","25","20","0","65","65","385.2","10.80","2.78","1.52",".277","84.3%","38.2%","15.6%","94.2","3.31","","3.94","3.50","5.6","11486","592662"
"Cristian Javier","HOU","23","12","2","88","56","367.2","10.62","3.57","1.25",".243","79.6%","26.4%","10.5%","93.5","3.40","","3.97","4.28","5.5","17606","664299"
"Sean Manaea","- - -","22","22","1","90","66","415.0","9.63","2.60","1.34",".307","69.5%","39.7%","13.7%","93.8","4.53","","3.97","3.80","5.5","15873","640455"
"Taijuan Walker","- - -","32","21","0","83","82","448.0","7.71","3.11","1.17",".267","73.6%","44.4%","12.2%","94.1","4.00","","4.28","4.33","5.5","11836","592836"
"Steven Matz","- - -","23","17","0","69","56","303.2","8.77","2.52","1.10",".319","73.8%","44.0%","12.5%","","4.06","","3.78","3.82","5.3","13361","571927"
"Jameson Taillon","- - -","29","18","0","82","82","425.2","8.08","2.28","1.42",".284","70.9%","36.6%","12.3%","94.0","4.48","","4.29","4.32","5.2","11674","592791"
"German Marquez","COL","23","26","0","67","67","381.2","8.09","3.07","1.30",".291","68.6%","49.4%","16.8%","95.4","4.69","","4.31","3.81","5.1","15038","608566"
"Triston McKenzie","CLE","16","21","0","58","56","321.1","9.55","2.97","1.32",".236","74.8%","31.9%","11.9%","92.5","3.75","","3.98","4.04","5.1","18000","663474"
"Kyle Freeland","COL","20","32","0","77","77","419.1","6.72","2.73","1.33",".315","72.9%","41.8%","12.5%","90.4","4.59","","4.66","4.64","5.0","16256","607536"
"Martin Perez","- - -","27","20","0","89","74","419.2","7.21","3.13","1.03",".309","74.2%","46.3%","11.3%","93.1","3.92","","4.21","4.36","4.6","6902","527048"
"Dane Dunning","TEX","18","22","0","82","72","398.2","7.86","3.14","1.02",".307","75.1%","51.2%","13.0%","90.5","4.04","","4.13","4.07","4.6","19409","641540"
"Jesus Luzardo","- - -","18","23","0","67","60","329.1","10.25","3.31","1.31",".304","71.0%","40.1%","14.0%","96.4","4.51","","4.01","3.82","4.6","19959","666200"
"Cal Quantrill","CLE","25","14","0","85","67","403.0","6.41","2.59","1.00",".283","74.5%","42.3%","10.0%","94.2","3.71","","4.23","4.57","4.5","19312","615698"
"Michael Wacha","- - -","22","9","0","67","61","337.2","7.94","2.32","1.31",".277","76.2%","38.6%","12.7%","93.2","3.84","","4.16","4.12","4.5","14078","608379"
