Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"Starling Marte","NYM",341,0.04692082,0.20234604,0.23188406,0.24761905,0.30088496,0.32380952,0.62469448,0.07619047,0.30290456,30.01383425893138,-11.41118721066167,0.2779602618259791,77.77394014381318,9241
2023,"Yan Gomes","CHC",312,0.04807692,0.20512821,0.234375,0.27272727,0.31410256,0.43356643,0.74766899,0.16083916,0.31506849,38.03220280751824,0.13013037786125273,0.31883685822655533,99.61904701612131,9627
2023,"Christian Vazquez","MIN",278,0.07194245,0.21582734,0.33333333,0.23137255,0.28880866,0.32156863,0.61037729,0.09019608,0.28645833,22.629195027249203,-11.142523355586183,0.2699768545402997,69.63266684730387,9774
2023,"Nolan Arenado","STL",519,0.06743738,0.17148362,0.39325843,0.28270042,0.33140655,0.50632911,0.83773566,0.22362869,0.29508197,77.5889868901815,14.540347175463642,0.3521343968446972,125.03845319383508,9777
2023,"Andrew McCutchen","PIT",437,0.15789474,0.2173913,0.72631579,0.25761773,0.37757437,0.40443213,0.7820065,0.1468144,0.31395349,63.432124990642684,10.344927388847493,0.3468940904654494,117.56772907610772,9847
2023,"DJ LeMahieu","NYY",418,0.09569378,0.22966507,0.41666667,0.2386059,0.31578947,0.36997319,0.68576266,0.13136729,0.2962963,44.76292524350826,-6.0161333321219255,0.30096924777787465,90.54270466259811,9874
2023,"Christian Bethancourt","TBR",281,0.04626335,0.25622776,0.18055556,0.23106061,0.26428571,0.37878788,0.64307359,0.14772727,0.28342246,24.313130142905315,-9.823031244061387,0.2761583719934736,77.58901194332228,10028
2023,"Mike Trout","LAA",362,0.12430939,0.28729282,0.43269231,0.26298701,0.36740331,0.49025974,0.85766305,0.22727273,0.33510638,58.90278847401826,14.926665975505996,0.36808136055866875,134.54014974942427,10155
2023,"Randal Grichuk","2 Tms",347,0.06051873,0.2074928,0.29166667,0.26875,0.31988473,0.45,0.76988473,0.18125,0.31380753,45.19432146259859,3.040413984742905,0.3286808252334595,94.33721508214703,10243
2023,"Brandon Belt","TOR",356,0.15449438,0.34831461,0.44354839,0.25503356,0.37078652,0.46979866,0.84058518,0.2147651,0.38271605,56.624850059057536,13.377613568807899,0.3636700997889881,133.96181557617078,10264
2023,"Marcell Ozuna","ATL",443,0.09706546,0.23250564,0.41747573,0.26196474,0.33408578,0.51889169,0.85297747,0.25692695,0.28358209,69.6540171655644,15.837933555506558,0.3614670460310457,125.40826499359841,10324
2023,"Enrique Hernandez","2 Tms",403,0.06451613,0.19354839,0.33333333,0.23450135,0.28784119,0.34231806,0.63015925,0.10781671,0.27681661,35.31093976137602,-13.645903793597586,0.2774813976832122,68.63168961327777,10472
2023,"Jurickson Profar","COL",470,0.09574468,0.1787234,0.53571429,0.23728814,0.31769723,0.36561743,0.68331466,0.12832929,0.27607362,50.70692761381358,-6.389143033426102,0.3019329112475869,73.0501544542837,10815
2023,"Adam Duvall","BOS",245,0.06938776,0.29387755,0.23611111,0.25909091,0.32244898,0.54090909,0.86335807,0.28181818,0.31386861,38.38333565195168,8.62049031456078,0.3607843393673662,125.65469470156417,10950
2023,"Kevin Kiermaier","TOR",314,0.07006369,0.2133758,0.32835821,0.27017544,0.32907348,0.41754386,0.74661734,0.14736842,0.3317757,39.64597019166107,1.5009357592498753,0.3241006730082698,106.47397662034622,11038
2023,"Whit Merrifield","TOR",484,0.05785124,0.16735537,0.34567901,0.29175947,0.33471074,0.4142539,0.74896464,0.12249443,0.33240997,61.75746448336702,2.9606598168478606,0.32571375062150404,107.59453916732338,11281
2023,"Yasmani Grandal","CHW",366,0.08743169,0.2295082,0.38095238,0.2347561,0.30874317,0.3445122,0.65325537,0.1097561,0.28991597,35.819106533182996,-8.642939970837695,0.2898432115985923,81.45953894473763,11368
2023,"Gary Sanchez","2 Tms",235,0.08510638,0.24680851,0.34482759,0.20952381,0.28510638,0.47142857,0.75653495,0.26190476,0.20289855,29.093038306133725,0.5450029825138818,0.3211316692068222,104.62212616659922,11442
2023,"Mark Canha","2 Tms",376,0.1037234,0.15425532,0.67241379,0.24137931,0.33866667,0.37617555,0.71484222,0.13479624,0.26923077,44.95641267974939,-0.720443838042353,0.3160540037614139,102.04907752913397,11445
2023,"Christian Yelich","MIL",541,0.11460259,0.2051756,0.55855856,0.28571429,0.3715342,0.45378151,0.82531571,0.16806722,0.34383954,82.85348659925214,17.132264854237942,0.3565400734126011,124.06919387109028,11477
2023,"Michael A. Taylor","MIN",334,0.05688623,0.34131737,0.16666667,0.22330097,0.27409639,0.43042071,0.7045171,0.20711974,0.29050279,35.94711381446893,-4.627540645484381,0.3016180320676551,91.61295979075426,11489
2023,"Manny Machado","SDP",484,0.09090909,0.17975207,0.50574713,0.25,0.31818182,0.45833333,0.77651515,0.20833333,0.25688073,64.47090497443395,5.674100307914797,0.33247759716569886,112.16333617496154,11493
2023,"Bryce Harper","PHI",406,0.12561576,0.22906404,0.5483871,0.29885057,0.39162562,0.4683908,0.86001642,0.16954023,0.37398374,67.1283045126328,17.807017953527875,0.3712492853551362,132.96002938238794,11579
2023,"Willson Contreras","STL",423,0.10165485,0.22931442,0.44329897,0.25753425,0.35308057,0.43287671,0.78595728,0.17534246,0.3151751,60.4841030678299,9.09763948531418,0.34428185111538495,119.77474357237496,11609
2023,"Brandon Drury","LAA",376,0.04255319,0.2606383,0.16326531,0.26495726,0.30319149,0.48717949,0.79037098,0.22222223,0.31380753,50.67471031325187,4.997853795460123,0.3343703372681395,111.12198945154348,11615
2023,"Elias Diaz","COL",423,0.06619385,0.21276596,0.31111111,0.27061856,0.31990521,0.42525773,0.74516294,0.15463917,0.3183391,52.61605981329767,1.2295962307819512,0.3218406975551804,86.39471938156494,11680
2023,"Nick Castellanos","PHI",533,0.04690432,0.27954972,0.16778523,0.2754491,0.31015038,0.46506986,0.77522024,0.18962076,0.34925373,70.13646645458412,5.387092720586773,0.33052765157886016,105.66354962937756,11737
2023,"J.T. Realmuto","PHI",434,0.06682028,0.26497696,0.25217391,0.25,0.31018519,0.45408163,0.76426682,0.20408163,0.31203008,54.80367290949097,2.0809183118270917,0.32411839911987733,101.3673067296027,11739
2023,"Joc Pederson","SFG",322,0.13664596,0.20807453,0.65671642,0.24074074,0.35403727,0.42592593,0.7799632,0.18518519,0.27319588,44.83996921906918,5.723086775641144,0.3397770367562771,114.99586340924397,11899
2023,"Jon Berti","MIA",343,0.04956268,0.18658892,0.265625,0.28125,0.31671554,0.365625,0.68234054,0.084375,0.33984375,35.394688631615054,-6.27329484073221,0.29626781961559195,86.45608818212823,12037
2023,"Max Kepler","MIN",359,0.07520891,0.22005571,0.34177215,0.24307692,0.30640669,0.47384615,0.78025284,0.23076923,0.25764192,47.81728524211058,4.205605747729623,0.33246725947079886,113.04310583427578,12144
2023,"Eddie Rosario","ATL",401,0.06733167,0.24688279,0.27272727,0.26344086,0.3125,0.48924731,0.80174731,0.22580645,0.30708661,55.96091198451342,7.247030432294031,0.3401375725155785,111.11071629611673,12155
2023,"Xander Bogaerts","SDP",519,0.09248555,0.16763006,0.55172414,0.26293103,0.33526012,0.39655172,0.73181184,0.13362069,0.29508197,64.52168323847329,1.4730435237554291,0.3217579179186812,104.97773283859799,12161
2023,"Jace Peterson","2 Tms",366,0.1147541,0.24043716,0.47727273,0.21202532,0.30958904,0.30379747,0.61338651,0.09177215,0.27111111,31.875397505595426,-12.586648998425266,0.27697917186852655,77.38923176631214,12325
2023,"Marcus Semien","TEX",588,0.09693878,0.13945578,0.69512195,0.2791587,0.34923339,0.46271511,0.8119485,0.18355641,0.29742389,86.48978893402052,15.058960124282367,0.3492320891940146,123.23404981204821,12533
2023,"C.J. Cron","2 Tms",274,0.0620438,0.23357664,0.265625,0.2519685,0.29927007,0.44094488,0.74021495,0.18897638,0.28888889,33.013244284976246,-0.2725500923507189,0.3171335634959005,85.86510631719236,12546
